[12-Mar-2026 23:39:51 UTC] PHP Warning:  Undefined property: WP_Ajax_Upgrader_Skin::$api in /workspaces/UX308-Assignment2/.wordpress/wp-admin/includes/class-theme-upgrader.php on line 160
[12-Mar-2026 23:40:01 UTC] PHP Warning:  Undefined property: WP_Ajax_Upgrader_Skin::$api in /workspaces/UX308-Assignment2/.wordpress/wp-admin/includes/class-theme-upgrader.php on line 160
[12-Mar-2026 23:55:32 UTC] PHP Fatal error:  Out of memory (allocated 39845888 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/themes/bakery-and-pastry/inc/tgm/class-tgm-plugin-activation.php on line 1165
[12-Mar-2026 23:55:33 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/conditionals.php on line 1256
[12-Mar-2026 23:55:33 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[12-Mar-2026 23:55:37 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/conditionals.php on line 1021
[12-Mar-2026 23:55:37 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/sodium_compat/src/Core/Util.php on line 12
[12-Mar-2026 23:55:40 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/conditionals.php on line 1021
[12-Mar-2026 23:55:40 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[12-Mar-2026 23:55:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/support.php on line 145
[12-Mar-2026 23:55:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[12-Mar-2026 23:55:59 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/support.php on line 141
[12-Mar-2026 23:55:59 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[12-Mar-2026 23:57:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/conditionals.php on line 1021
[12-Mar-2026 23:57:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[12-Mar-2026 23:59:11 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/conditionals.php on line 1256
[12-Mar-2026 23:59:11 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[12-Mar-2026 23:59:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/conditionals.php on line 1021
[12-Mar-2026 23:59:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 00:01:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/conditionals.php on line 1021
[13-Mar-2026 00:01:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX308-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[13-Mar-2026 00:08:29 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX308-Assignment2/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
